TCM_ID,SMILES
MOL001915,O=c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12
MOL003928,CC/C=C/N=C=S
MOL005405,COc1cc(CCc2ccc3c(c2)OCO3)nc2ccccc12
MOL011016,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3CC[C@]45OC[C@@]6(CC[C@](C)(C(=O)O)C[C@H]64)[C@H](O)C[C@@]5(C)[C@]3(C)CC[C@@H]12
MOL009076,C=C(C)[C@@H](C)CC[C@H](C)[C@H]1CC[C@@]2(C)[C@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@]45C[C@]35CC[C@]12C
MOL012790,O=C(O)c1cccc(O)c1O
MOL001446,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C
MOL006383,COc1cc([C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2cc(OC)c(O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(OC)c2)cc(OC)c1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O
MOL004644,COc1ccc(-c2cc3cc(O)c(OC)cc3o2)c(O)c1
MOL003181,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2cc(OC)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c2)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
MOL006679,[H]/N=C(\N)NCCC[C@@H]1NC(=O)[C@@H]2Cc3c([nH]c4cc(ccc34)C(=C(C)C)[C@H](NC(=O)[C@@H]3CCC(=O)N3)C(=O)N[C@H](CC(C)C)C(=O)NC(=C(C)C)C(=O)N2)-n2cnc(c2)C[C@@H](C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)O)NC1=O
MOL005956,CC(C)[C@@H](C)O
MOL009426,CC[C@@H]1[C@@H]2C[C@@](C)(C(=O)O2)[C@@]23CC[C@@H]([C@@H]4C[C@H](C)C(=O)O4)N2CCCC[C@H]13
MOL001016,CC1(C)C[C@]2(C)CC[C@H]1CC2
MOL004214,COc1cc2c(cc1O)[C@]1(C)[C@H](CC2)Cc2c(ccc(OC)c2OC)[C@@H]1C
